Loading channels: ...working... done
# Name                       Version           Build  Channel             
conda                          4.5.8          py27_0  conda-forge         
conda                          4.5.8          py27_0  pkgs/main           
conda                          4.5.8          py27_1  conda-forge         
conda                          4.5.8          py35_0  conda-forge         
conda                          4.5.8          py35_0  pkgs/main           
conda                          4.5.8          py35_1  conda-forge         
conda                          4.5.8          py36_0  conda-forge         
conda                          4.5.8          py36_0  pkgs/main           
conda                          4.5.8          py36_1  conda-forge         
conda                          4.5.8          py37_0  pkgs/main           
conda                          4.5.9          py27_0  conda-forge         
conda                          4.5.9          py27_0  pkgs/main           
conda                          4.5.9          py35_0  conda-forge         
conda                          4.5.9          py35_0  pkgs/main           
conda                          4.5.9          py36_0  conda-forge         
conda                          4.5.9          py36_0  pkgs/main           
conda                         4.5.10          py27_0  conda-forge         
conda                         4.5.10          py27_0  pkgs/main           
conda                         4.5.10          py27_1  conda-forge         
conda                         4.5.10          py35_0  conda-forge         
conda                         4.5.10          py35_0  pkgs/main           
conda                         4.5.10          py35_1  conda-forge         
conda                         4.5.10          py36_0  conda-forge         
conda                         4.5.10          py36_0  pkgs/main           
conda                         4.5.10          py36_1  conda-forge         
conda                         4.5.10          py37_0  pkgs/main           
conda                         4.5.11          py27_0  conda-forge         
conda                         4.5.11          py27_0  pkgs/main           
conda                         4.5.11       py27_1000  conda-forge         
conda                         4.5.11          py35_0  conda-forge         
conda                         4.5.11          py35_0  pkgs/main           
conda                         4.5.11          py36_0  conda-forge         
conda                         4.5.11          py36_0  pkgs/main           
conda                         4.5.11       py36_1000  conda-forge         
conda                         4.5.11          py37_0  pkgs/main           
conda                         4.5.11       py37_1000  conda-forge         
conda                         4.5.12          py27_0  pkgs/main           
conda                         4.5.12       py27_1000  conda-forge         
conda                         4.5.12          py36_0  pkgs/main           
conda                         4.5.12       py36_1000  conda-forge         
conda                         4.5.12          py37_0  pkgs/main           
conda                         4.5.12       py37_1000  conda-forge         
conda                         4.5.13          py27_0  pkgs/main           
conda                         4.5.13          py36_0  pkgs/main           
conda                         4.5.13          py37_0  pkgs/main           
conda                          4.6.1          py27_0  conda-forge         
conda                          4.6.1          py27_0  pkgs/main           
conda                          4.6.1          py36_0  conda-forge         
conda                          4.6.1          py36_0  pkgs/main           
conda                          4.6.1          py37_0  conda-forge         
conda                          4.6.1          py37_0  pkgs/main           
conda                          4.6.2          py27_0  conda-forge         
conda                          4.6.2          py27_0  pkgs/main           
conda                          4.6.2          py36_0  conda-forge         
conda                          4.6.2          py36_0  pkgs/main           
conda                          4.6.2          py37_0  conda-forge         
conda                          4.6.2          py37_0  pkgs/main           
conda                          4.6.3          py27_0  conda-forge         
conda                          4.6.3          py27_0  pkgs/main           
conda                          4.6.3          py36_0  conda-forge         
conda                          4.6.3          py36_0  pkgs/main           
conda                          4.6.3          py37_0  conda-forge         
conda                          4.6.3          py37_0  pkgs/main           
conda                          4.6.4          py27_0  pkgs/main           
conda                          4.6.4          py36_0  pkgs/main           
conda                          4.6.4          py37_0  pkgs/main           
conda                          4.6.6          py27_0  conda-forge         
conda                          4.6.6          py36_0  conda-forge         
conda                          4.6.6          py37_0  conda-forge         
conda                          4.6.7          py27_0  conda-forge         
conda                          4.6.7          py27_0  pkgs/main           
conda                          4.6.7          py36_0  conda-forge         
conda                          4.6.7          py36_0  pkgs/main           
conda                          4.6.7          py37_0  conda-forge         
conda                          4.6.7          py37_0  pkgs/main           
conda                          4.6.8          py27_0  conda-forge         
conda                          4.6.8          py27_0  pkgs/main           
conda                          4.6.8          py36_0  conda-forge         
conda                          4.6.8          py36_0  pkgs/main           
conda                          4.6.8          py37_0  conda-forge         
conda                          4.6.8          py37_0  pkgs/main           
conda                          4.6.9          py27_0  conda-forge         
conda                          4.6.9          py27_0  pkgs/main           
conda                          4.6.9          py36_0  conda-forge         
conda                          4.6.9          py36_0  pkgs/main           
conda                          4.6.9          py37_0  conda-forge         
conda                          4.6.9          py37_0  pkgs/main           
conda                         4.6.10          py27_0  conda-forge         
conda                         4.6.10          py36_0  conda-forge         
conda                         4.6.10          py37_0  conda-forge         
conda                         4.6.11          py27_0  conda-forge         
conda                         4.6.11          py27_0  pkgs/main           
conda                         4.6.11          py36_0  conda-forge         
conda                         4.6.11          py36_0  pkgs/main           
conda                         4.6.11          py37_0  conda-forge         
conda                         4.6.11          py37_0  pkgs/main           
conda                         4.6.12          py27_0  conda-forge         
conda                         4.6.12          py27_1  pkgs/main           
conda                         4.6.12          py27_2  conda-forge         
conda                         4.6.12          py36_0  conda-forge         
conda                         4.6.12          py36_1  pkgs/main           
conda                         4.6.12          py36_2  conda-forge         
conda                         4.6.12          py37_0  conda-forge         
conda                         4.6.12          py37_1  pkgs/main           
conda                         4.6.12          py37_2  conda-forge         
conda                         4.6.13          py27_0  conda-forge         
conda                         4.6.13          py36_0  conda-forge         
conda                         4.6.13          py37_0  conda-forge         
conda                         4.6.14          py27_0  conda-forge         
conda                         4.6.14          py27_0  pkgs/main           
conda                         4.6.14          py36_0  conda-forge         
conda                         4.6.14          py36_0  pkgs/main           
conda                         4.6.14          py37_0  conda-forge         
conda                         4.6.14          py37_0  pkgs/main           
conda                          4.7.5          py27_0  conda-forge         
conda                          4.7.5          py27_0  pkgs/main           
conda                          4.7.5          py36_0  conda-forge         
conda                          4.7.5          py36_0  pkgs/main           
conda                          4.7.5          py37_0  conda-forge         
conda                          4.7.5          py37_0  pkgs/main           
conda                          4.7.8          py27_0  conda-forge         
conda                          4.7.8          py27_0  pkgs/main           
conda                          4.7.8          py36_0  conda-forge         
conda                          4.7.8          py36_0  pkgs/main           
conda                          4.7.8          py37_0  conda-forge         
conda                          4.7.8          py37_0  pkgs/main           
conda                          4.7.9          py27_0  conda-forge         
conda                          4.7.9          py27_0  pkgs/main           
conda                          4.7.9          py36_0  conda-forge         
conda                          4.7.9          py36_0  pkgs/main           
conda                          4.7.9          py37_0  conda-forge         
conda                          4.7.9          py37_0  pkgs/main           
conda                         4.7.10          py27_0  conda-forge         
conda                         4.7.10          py27_0  pkgs/main           
conda                         4.7.10          py36_0  conda-forge         
conda                         4.7.10          py36_0  pkgs/main           
conda                         4.7.10          py37_0  conda-forge         
conda                         4.7.10          py37_0  pkgs/main           
conda                         4.7.11          py27_0  conda-forge         
conda                         4.7.11          py27_0  pkgs/main           
conda                         4.7.11          py36_0  conda-forge         
conda                         4.7.11          py36_0  pkgs/main           
conda                         4.7.11          py37_0  conda-forge         
conda                         4.7.11          py37_0  pkgs/main           
conda                         4.7.12          py27_0  conda-forge         
conda                         4.7.12          py27_0  pkgs/main           
conda                         4.7.12          py27_1  conda-forge         
conda                         4.7.12          py36_0  conda-forge         
conda                         4.7.12          py36_0  pkgs/main           
conda                         4.7.12          py36_1  conda-forge         
conda                         4.7.12          py37_0  conda-forge         
conda                         4.7.12          py37_0  pkgs/main           
conda                         4.7.12          py37_1  conda-forge         
conda                         4.7.12          py38_0  conda-forge         
conda                         4.7.12          py38_1  conda-forge         
conda                          4.8.0          py27_0  conda-forge         
conda                          4.8.0          py27_0  pkgs/main           
conda                          4.8.0          py27_1  conda-forge         
conda                          4.8.0          py27_1  pkgs/main           
conda                          4.8.0          py36_0  conda-forge         
conda                          4.8.0          py36_0  pkgs/main           
conda                          4.8.0          py36_1  conda-forge         
conda                          4.8.0          py36_1  pkgs/main           
conda                          4.8.0          py37_0  conda-forge         
conda                          4.8.0          py37_0  pkgs/main           
conda                          4.8.0          py37_1  conda-forge         
conda                          4.8.0          py37_1  pkgs/main           
conda                          4.8.0          py38_0  conda-forge         
conda                          4.8.0          py38_1  conda-forge         
conda                          4.8.1          py27_0  pkgs/main           
conda                          4.8.1          py36_0  pkgs/main           
conda                          4.8.1          py37_0  pkgs/main           
conda                          4.8.1          py38_0  pkgs/main           
conda                          4.8.2          py27_0  conda-forge         
conda                          4.8.2          py27_0  pkgs/main           
conda                          4.8.2          py36_0  conda-forge         
conda                          4.8.2          py36_0  pkgs/main           
conda                          4.8.2          py37_0  conda-forge         
conda                          4.8.2          py37_0  pkgs/main           
conda                          4.8.2          py38_0  conda-forge         
conda                          4.8.2          py38_0  pkgs/main           
conda                          4.8.3          py27_0  pkgs/main           
conda                          4.8.3  py27h8c360ce_0  conda-forge         
conda                          4.8.3  py27h8c360ce_1  conda-forge         
conda                          4.8.3          py36_0  pkgs/main           
conda                          4.8.3  py36h9f0ad1d_0  conda-forge         
conda                          4.8.3  py36h9f0ad1d_1  conda-forge         
conda                          4.8.3          py37_0  pkgs/main           
conda                          4.8.3  py37hc8dfbb8_0  conda-forge         
conda                          4.8.3  py37hc8dfbb8_1  conda-forge         
conda                          4.8.3          py38_0  pkgs/main           
conda                          4.8.3  py38h32f6830_0  conda-forge         
conda                          4.8.3  py38h32f6830_1  conda-forge         
conda                          4.8.3  py38h32f6830_2  conda-forge         
conda                          4.8.4          py36_0  pkgs/main           
conda                          4.8.4  py36h9f0ad1d_0  conda-forge         
conda                          4.8.4  py36h9f0ad1d_1  conda-forge         
conda                          4.8.4  py36h9f0ad1d_2  conda-forge         
conda                          4.8.4          py37_0  pkgs/main           
conda                          4.8.4  py37hc8dfbb8_0  conda-forge         
conda                          4.8.4  py37hc8dfbb8_1  conda-forge         
conda                          4.8.4  py37hc8dfbb8_2  conda-forge         
conda                          4.8.4          py38_0  pkgs/main           
conda                          4.8.4  py38h32f6830_0  conda-forge         
conda                          4.8.4  py38h32f6830_1  conda-forge         
conda                          4.8.4  py38h32f6830_2  conda-forge         
conda                          4.8.5          py36_0  pkgs/main           
conda                          4.8.5  py36h9f0ad1d_0  conda-forge         
conda                          4.8.5  py36h9f0ad1d_1  conda-forge         
conda                          4.8.5  py36hd36e781_2  conda-forge         
conda                          4.8.5  py36hd36e781_3  conda-forge         
conda                          4.8.5          py37_0  pkgs/main           
conda                          4.8.5  py37hc8dfbb8_0  conda-forge         
conda                          4.8.5  py37hc8dfbb8_1  conda-forge         
conda                          4.8.5  py37hf50a25e_2  conda-forge         
conda                          4.8.5  py37hf50a25e_3  conda-forge         
conda                          4.8.5          py38_0  pkgs/main           
conda                          4.8.5  py38h32f6830_0  conda-forge         
conda                          4.8.5  py38h32f6830_1  conda-forge         
conda                          4.8.5  py38h9bdc248_2  conda-forge         
conda                          4.8.5  py38h9bdc248_3  conda-forge         
conda                          4.8.5  py39h467e6f4_3  conda-forge         
conda                          4.9.0          py36_0  pkgs/main           
conda                          4.9.0  py36hd36e781_0  conda-forge         
conda                          4.9.0  py36hd36e781_1  conda-forge         
conda                          4.9.0          py37_0  pkgs/main           
conda                          4.9.0  py37hf50a25e_0  conda-forge         
conda                          4.9.0  py37hf50a25e_1  conda-forge         
conda                          4.9.0          py38_0  pkgs/main           
conda                          4.9.0  py38h9bdc248_0  conda-forge         
conda                          4.9.0  py38h9bdc248_1  conda-forge         
conda                          4.9.0  py39h467e6f4_0  conda-forge         
conda                          4.9.0  py39h467e6f4_1  conda-forge         
conda                          4.9.1  py36ha15d459_0  conda-forge         
conda                          4.9.1  py36haa95532_0  pkgs/main           
conda                          4.9.1  py37h03978a9_0  conda-forge         
conda                          4.9.1  py37haa95532_0  pkgs/main           
conda                          4.9.1  py38haa244fe_0  conda-forge         
conda                          4.9.1  py38haa95532_0  pkgs/main           
conda                          4.9.1  py39hcbf5309_0  conda-forge         
conda                          4.9.2  py36ha15d459_0  conda-forge         
conda                          4.9.2  py36haa95532_0  pkgs/main           
conda                          4.9.2  py37h03978a9_0  conda-forge         
conda                          4.9.2  py37haa95532_0  pkgs/main           
conda                          4.9.2  py38haa244fe_0  conda-forge         
conda                          4.9.2  py38haa95532_0  pkgs/main           
conda                          4.9.2  py39haa95532_0  pkgs/main           
conda                          4.9.2  py39hcbf5309_0  conda-forge         
conda                         4.10.0  py36ha15d459_0  conda-forge         
conda                         4.10.0  py36ha15d459_1  conda-forge         
conda                         4.10.0  py36haa95532_0  pkgs/main           
conda                         4.10.0  py37h03978a9_0  conda-forge         
conda                         4.10.0  py37h03978a9_1  conda-forge         
conda                         4.10.0  py37haa95532_0  pkgs/main           
conda                         4.10.0  py38haa244fe_0  conda-forge         
conda                         4.10.0  py38haa244fe_1  conda-forge         
conda                         4.10.0  py38haa95532_0  pkgs/main           
conda                         4.10.0  py39haa95532_0  pkgs/main           
conda                         4.10.0  py39hcbf5309_0  conda-forge         
conda                         4.10.0  py39hcbf5309_1  conda-forge         
conda                         4.10.1  py36ha15d459_0  conda-forge         
conda                         4.10.1  py36haa95532_1  pkgs/main           
conda                         4.10.1  py37h03978a9_0  conda-forge         
conda                         4.10.1  py37haa95532_1  pkgs/main           
conda                         4.10.1  py38haa244fe_0  conda-forge         
